# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "gene,sRNA" "-g" "locus_tag" "-a" "startpeaks_cds.gff" "-o" "../rna_align/startpeaks_ctable.txt" "../rna_align/01_no_PNA.bam" "../rna_align/02_PNA15_5000pM.bam" "../rna_align/03_PNA15_500pM.bam" "../rna_align/04_PNA15_100pM.bam" "../rna_align/05_PNA15_10pM.bam" "../rna_align/06_PNA14_5000pM.bam" "../rna_align/07_no_PNA.bam" "../rna_align/08_PNA15_5000pM.bam" "../rna_align/09_PNA15_500pM.bam" "../rna_align/10_PNA15_100pM.bam" "../rna_align/11_PNA15_10pM.bam" "../rna_align/12_PNA14_5000pM.bam" "../rna_align/13_no_PNA.bam" "../rna_align/14_PNA15_5000pM.bam" "../rna_align/15_PNA15_500pM.bam" "../rna_align/16_PNA15_100pM.bam" "../rna_align/17_PNA15_10pM.bam" "../rna_align/18_PNA14_5000pM.bam" "../rna_align/73_RNA_input_control.bam" "../rna_align/79_no_PNA.bam" "../rna_align/85_no_PNA.bam" 
Geneid	Chr	Start	End	Strand	Length	../rna_align/01_no_PNA.bam	../rna_align/02_PNA15_5000pM.bam	../rna_align/03_PNA15_500pM.bam	../rna_align/04_PNA15_100pM.bam	../rna_align/05_PNA15_10pM.bam	../rna_align/06_PNA14_5000pM.bam	../rna_align/07_no_PNA.bam	../rna_align/08_PNA15_5000pM.bam	../rna_align/09_PNA15_500pM.bam	../rna_align/10_PNA15_100pM.bam	../rna_align/11_PNA15_10pM.bam	../rna_align/12_PNA14_5000pM.bam	../rna_align/13_no_PNA.bam	../rna_align/14_PNA15_5000pM.bam	../rna_align/15_PNA15_500pM.bam	../rna_align/16_PNA15_100pM.bam	../rna_align/17_PNA15_10pM.bam	../rna_align/18_PNA14_5000pM.bam	../rna_align/73_RNA_input_control.bam	../rna_align/79_no_PNA.bam	../rna_align/85_no_PNA.bam
b1307	b1307_pspD_1369393_1	37	80	+	44	1440	2228	1578	2037	1680	1783	2069	1080	2242	1069	1274	1465	1648	1751	2503	1620	2221	1697	1854	1654	1283
b1308	b1308_pspE_1369689_1	37	80	+	44	3974	7768	5407	7152	6000	7451	5998	3184	6395	4052	4121	5482	5073	4611	6673	5232	5964	5474	443	4189	4074
b1309	b1309_ycjM_1370216_1	37	80	+	44	270	360	377	349	343	364	334	250	433	369	238	318	325	260	335	359	286	324	3041	244	171
b1310	b1310_ycjN_1371909_1	37	80	+	44	943	1730	963	1745	1167	1753	1535	612	1477	733	833	1171	952	1250	1937	1151	1557	950	2150	1314	1199
b1311	b1311_ycjO_1373222_1	37	80	+	44	1124	1727	1434	1814	1488	1831	1532	943	1776	1258	1001	1731	1507	1713	1921	1549	1548	1477	5034	1606	1433
b1312	b1312_ycjP_1374090_1	37	80	+	44	726	1076	971	930	1052	915	1021	544	693	546	726	1149	967	1352	1334	1202	1205	1323	1174	763	656
b1313	b1313_ycjQ_1374963_1	37	80	+	44	1726	2398	2004	2267	2090	2304	1883	1128	2062	1337	1384	1898	1821	1918	2310	1939	2215	1981	480	1189	1294
b1314	b1314_ycjR_1376034_1	37	80	+	44	1600	2287	1700	2329	1807	2163	2035	1119	2243	1288	1343	1773	1688	1770	2396	1854	1991	1722	726	1497	1257
b1315	b1315_ycjS_1376832_1	37	80	+	44	7	11	7	10	10	9	7	2	7	1	4	10	13	8	7	5	15	11	315	8	3
b1316	b1316_ycjT_1377884_1	37	80	+	44	527	620	646	534	584	583	537	407	706	455	417	549	658	601	651	675	638	639	477	519	413
b1317	b1317_ycjU_1380148_1	37	80	+	44	764	869	914	825	882	715	759	552	659	428	458	829	856	880	1034	1047	920	994	497	608	508
b4524	b4524_ycjV_1380821_1;b4524_ycjV_1381777_1	37;37	80;80	+;+	88	197	307	190	402	246	325	355	108	299	102	181	240	217	318	412	222	366	224	856	301	247
b1319	b1319_ompG_1381947_1	37	80	+	44	88	186	85	199	119	156	213	84	150	72	71	109	75	153	254	122	165	100	1254	162	111
b1320	b1320_ycjW_1383961_-1	37	80	-	44	5	9	3	9	6	6	6	7	2	3	4	2	5	10	11	9	7	6	221	5	5
b1321	b1321_ycjX_1384117_1	37	80	+	44	126	193	117	138	157	151	177	75	149	82	97	108	80	140	173	100	152	99	1603	140	147
b1322	b1322_ycjF_1385511_1	37	80	+	44	1250	1789	1484	1889	1748	1937	1814	1157	1942	1002	1250	1777	1759	2187	2398	1930	1984	1809	666	1498	1240
b1323	b1323_tyrR_1386720_1	37	80	+	44	587	899	852	894	897	803	859	551	856	732	663	1067	840	891	885	799	800	841	7785	731	578
b1324	b1324_tpx_1388811_-1	37	80	-	44	827	1491	758	1647	1124	1310	1698	490	1309	718	908	978	675	903	1278	781	1146	685	247	1085	1027
b1325	b1325_ycjG_1388930_1	37	80	+	44	7224	8332	10000	7302	9944	7779	5863	4852	6930	6116	5324	8786	7512	6449	7040	8312	6613	8106	531	4700	4667
b1326	b1326_mpaA_1390598_-1	37	80	-	44	31	44	53	45	28	33	50	27	34	29	25	44	31	64	37	51	47	44	122	37	31
b4525	b4525_ymjC_1390862_-1	37	80	-	44	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	1	1554	0	0
b4673	b4673_ymjD_1390933_-1	37	80	-	44	2372	4120	3278	3944	2911	4027	3962	2642	4313	2945	2399	2740	2730	2813	3695	2993	3370	2648	9495	2664	2495
b1327	b1327_ycjY_1391853_-1	37	80	-	44	6952	9379	9153	10003	9100	10939	8934	6187	10356	7255	7059	11387	11016	9628	11450	9725	9399	9388	4693	7749	6908
b1328	b1328_pgrR_1391991_1	37	80	+	44	11103	14293	14617	13236	14996	14899	12672	9840	13958	10462	10128	16845	14202	15083	15253	16082	13714	15547	4296	11654	11662
b1329	b1329_mppA_1393227_1	37	80	+	44	1005	1482	1129	1312	1128	1362	1344	633	1187	666	834	1090	1024	1244	1500	993	1352	1272	6172	987	1129
b1330	b1330_ynaI_1395922_-1	37	80	-	44	7226	7679	7634	6324	8008	5975	6760	4491	7014	6185	5519	7027	5998	6307	6322	6637	6311	6371	12130	3997	3120
b1331	b1331_insH1_1396076_1	37	80	+	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1332	b1332_ynaJ_1397365_1	37	80	+	44	1282	1850	1489	1624	1470	1505	1862	941	1797	1484	1243	1469	1089	1258	1474	1116	1417	987	2287	1024	1011
b1333	b1333_uspE_1398622_-1	37	80	-	44	4661	7247	5781	6020	6172	6094	5971	3341	5324	3755	4226	6167	5233	6422	6556	5859	6608	5906	1844	4431	4179
b1334	b1334_fnr_1399526_-1	37	80	-	44	749	1053	978	928	951	916	821	636	971	626	696	1095	823	953	913	918	830	940	6079	840	741
b1335	b1335_ogt_1400236_-1	37	80	-	44	1556	2239	1756	2133	2134	2386	1946	1082	2240	1657	1416	2194	1546	1855	1984	1635	1929	1455	1809	1646	1597
b1336	b1336_abgT_1401773_-1	37	80	-	44	1223	1911	1556	1754	1676	1630	1645	901	1294	986	1180	1995	1811	2361	2235	1787	2128	1699	1420	1444	1366
b1337	b1337_abgB_1403255_-1	37	80	-	44	923	1563	1216	1459	1334	1438	1398	838	1568	972	871	1292	1159	1248	1441	1165	1390	1029	1038	1234	915
b1338	b1338_abgA_1404565_-1	37	80	-	44	7218	8112	8937	7436	8868	7989	6867	5634	8178	6322	5428	8592	7098	7264	7518	8538	6594	7542	1613	5432	5452
b1339	b1339_abgR_1404741_1	37	80	+	44	171	263	207	222	218	208	202	148	180	74	126	291	187	254	250	234	291	262	590	203	165
b1340	b1340_smrA_1405979_1	37	80	+	44	865	1182	892	1088	840	1027	1127	443	866	373	580	873	1192	1442	1668	1103	1474	1002	1359	1100	906
b1341	b1341_ydaM_1407795_-1	37	80	-	44	491	662	356	610	433	429	613	239	453	215	336	337	276	433	636	374	478	332	11682	335	282
b1342	b1342_ydaN_1408050_1	37	80	+	44	1246	1513	1402	1177	1396	1016	1181	919	1100	777	809	1198	1370	1545	1502	1634	1414	1396	1073	1032	806
b1343	b1343_dbpA_1409511_1	37	80	+	44	25	27	23	23	16	26	41	16	41	22	9	25	19	22	36	26	28	32	3024	28	26
b1344	b1344_ttcA_1411948_-1	37	80	-	44	84	168	74	142	137	182	157	61	173	171	101	122	81	88	143	80	103	68	145	115	87
b1345	b1345_intR_1413235_-1	37	80	-	44	32	35	28	38	41	32	46	26	47	29	41	46	21	24	30	29	33	14	1851	30	30
b1346	b1346_ydaQ_1413452_-1	37	80	-	44	63	91	74	82	81	71	70	48	69	62	54	90	67	99	78	84	82	67	559	70	53
b1347	b1347_ydaC_1413740_-1	37	80	-	44	131	151	130	125	117	106	148	73	123	43	70	105	120	159	192	142	172	118	387	78	69
b1348	b1348_ralR_1413927_-1	37	80	-	44	93	152	76	190	113	159	185	58	153	48	98	110	99	131	242	103	212	99	740	152	119
b1349	b1349_recT_1414793_-1	37	80	-	44	107	182	116	152	142	171	192	69	140	76	104	140	154	212	207	173	171	190	665	120	86
b1350	b1350_recE_1417386_-1	37	80	-	44	182	288	147	287	180	215	268	102	203	90	167	192	151	192	239	181	253	174	594	190	162
b1351	b1351_racC_1417763_-1	37	80	-	44	2131	5320	2500	5112	3254	4673	4442	1489	4312	2032	2518	2914	2259	2866	4485	2748	4365	2336	1889	2756	2960
b4526	b4526_ydaE_1418008_-1	37	80	-	44	94	170	109	140	108	130	154	67	128	70	83	132	107	132	183	141	179	129	390	128	144
b1352	b1352_kilR_1418229_-1	37	80	-	44	5140	6847	5294	6115	6307	6167	5952	3331	6141	3582	4080	5636	4781	5905	6216	5539	5790	4786	7678	3743	3098
b1353	b1353_sieB_1418671_1	37	80	+	44	63	95	72	107	82	89	99	73	82	53	60	107	78	99	113	90	84	84	1385	111	70
b4527	b4527_ydaF_1419311_-1	37	80	-	44	3637	3793	3162	3352	3440	3496	4181	1977	4273	2399	2617	2627	2820	2582	3524	2665	3406	2616	2709	2569	1975
b1355	b1355_ydaG_1419456_-1	37	80	-	44	183	260	213	218	251	231	174	168	234	119	156	222	228	279	264	317	240	278	399	208	170
b1356	b1356_racR_1420241_-1	37	80	-	44	2258	4179	3337	3722	3519	3689	3509	2287	3891	2663	2466	3410	3552	4018	4088	3659	3847	3359	3030	2614	2156
b1357	b1357_ydaS_1420365_1	37	80	+	44	7453	10827	9639	11276	10841	12042	8189	5962	10167	7272	6418	10125	9351	8314	11120	10433	8366	11167	13837	7154	6668
b1358	b1358_ydaT_1420684_1	37	80	+	44	7913	12471	8623	10972	9271	10613	10589	5728	11531	5779	6785	7994	9255	10302	13109	9215	11923	8551	4283	8261	6308
b1359	b1359_ydaU_1421119_1	37	80	+	44	13	19	27	40	32	24	37	15	26	20	25	31	12	29	34	23	44	31	9827	13	21
b1360	b1360_ydaV_1421983_1	37	80	+	44	624	850	682	771	686	785	744	441	707	402	485	598	689	750	948	792	798	843	1131	523	521
b1361	b1361_ydaW_1422701_1	37	80	+	44	325	362	345	316	385	286	315	189	301	231	238	329	299	328	299	372	305	358	7369	223	164
b1362	b1362_rzpR_1423201_1	37	80	+	44	7	0	7	2	1	3	4	1	2	1	5	1	0	4	6	1	6	6	886	4	0
b4528	b4528_rzoR_1423400_1	37	80	+	44	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0
b1363	b1363_trkG_1423782_1	37	80	+	44	10	25	14	22	16	13	18	9	25	7	15	18	9	23	24	11	23	17	14908	25	12
b1365	b1365_ynaK_1425377_1	37	80	+	44	26	60	43	57	42	30	48	29	44	23	34	44	19	21	40	32	38	34	242	27	37
b1366	b1366_ydaY_1425630_1	37	80	+	44	4	7	7	3	6	2	8	3	0	4	2	2	8	7	8	2	5	9	4999	3	1
b1368	b1368_tmpR_1426454_1	37	80	+	44	80	113	105	159	110	118	142	76	134	72	75	139	105	129	185	128	164	130	665	116	72
b4570	b4570_lomR_1427389_1;b4570_lomR_1428796_1	37;37	80;80	+;+	88	297	476	449	412	382	405	427	341	431	250	271	403	545	565	606	505	550	486	1693	535	375
b1370	b1370_insH1_1428726_-1	37	80	-	44	27	49	54	58	52	48	65	28	56	31	40	48	48	51	47	50	50	45	388	55	44
b1372	b1372_stfR_1429049_1	37	80	+	44	172	217	187	180	192	173	207	128	148	98	148	212	214	236	261	248	222	205	86	176	151
b1373	b1373_tfaR_1432411_1	37	80	+	44	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	21	0	0
b1374	b1374_pinR_1433674_-1	37	80	-	44	15	38	17	33	27	32	34	10	23	12	12	24	22	28	33	18	30	29	1974	17	19
b1375	b1375_ynaE_1434224_-1	37	80	-	44	9	2	5	1	2	4	2	4	4	5	2	0	2	1	2	6	3	1	20	2	3
b4638	b4638_ttcC_1435008_-1	37	80	-	44	48	92	50	66	54	66	87	24	62	32	47	39	47	70	70	42	82	43	448	41	58
b1376	b1376_uspF_1435619_-1	37	80	-	44	2499	4783	2675	4748	3520	4459	4012	1858	3835	2101	2337	3757	3211	4059	5307	3545	4696	3147	866	3821	2906
b1377	b1377_ompN_1436893_-1	37	80	-	44	755	787	675	668	607	622	652	376	630	328	405	438	449	465	623	579	578	434	119	349	359
b1378	b1378_pfo_1440784_-1	37	80	-	44	397	493	542	411	503	382	421	342	408	340	326	445	472	444	493	488	437	488	463	288	274
b4529	b4529_ydbJ_1441058_1	37	80	+	44	1801	2209	2391	2025	2285	2023	1945	1416	2181	1707	1527	2180	1584	1664	1771	1880	1700	1604	357	1474	1409
b1379	b1379_hslJ_1441743_-1	37	80	-	44	3494	5436	4198	5676	4645	5455	4889	2714	5016	3383	3274	5031	3908	4534	5556	4647	5336	4157	3613	3648	3272
b1380	b1380_ldhA_1442843_-1	37	80	-	44	64	84	73	78	82	75	91	48	65	50	45	83	113	108	112	128	129	109	4599	60	55
b1381	b1381_ydbH_1443051_1	37	80	+	44	2	9	2	3	1	6	5	3	1	3	3	6	1	7	2	4	3	5	488	5	1
b1382	b1382_ynbE_1445687_1	37	80	+	44	461	604	671	508	571	621	573	483	794	534	425	572	639	575	563	625	541	587	257	345	319
b1383	b1383_ydbL_1445880_1	37	80	+	44	804	1246	775	1163	954	1097	1288	540	1132	530	709	1149	912	1128	1519	1008	1247	910	7937	1245	861
b1384	b1384_feaR_1447283_-1	37	80	-	44	169	143	222	133	170	141	173	105	162	134	124	181	182	176	163	166	169	169	1528	152	109
b1385	b1385_feaB_1447519_1	37	80	+	44	16713	24928	18657	21460	21693	20791	20443	10107	20077	15215	14326	19941	13976	16760	19381	16992	20134	15060	4893	14029	13782
b1386	b1386_tynA_1451349_-1	37	80	-	44	303	355	374	326	373	300	325	206	272	199	224	325	360	404	396	393	411	337	220	217	215
b1387	b1387_paaZ_1453642_-1	37	80	-	44	5967	9819	8166	9511	9110	9453	7879	5142	8024	5096	5445	9102	8453	9858	10284	9690	9335	9241	2987	7780	7370
b1388	b1388_paaA_1453927_1	37	80	+	44	554	657	711	569	726	668	626	466	616	481	476	785	709	680	700	765	626	672	2771	479	440
b1389	b1389_paaB_1454868_1	37	80	+	44	13806	21308	18268	17878	18790	18710	16098	11163	17800	12632	12878	18085	18175	19983	20574	19610	19193	19900	3498	10754	9949
b1390	b1390_paaC_1455164_1	37	80	+	44	2921	3201	4107	2746	3366	2894	2759	2292	2746	1679	2220	3435	5319	4200	4241	4565	3757	5166	2277	2392	2131
b1391	b1391_paaD_1455925_1	37	80	+	44	43	52	74	46	68	51	55	47	33	32	33	48	39	83	61	66	70	53	1611	46	38
b1392	b1392_paaE_1456430_1	37	80	+	44	1563	2424	1672	2258	2100	2233	2260	1101	2139	1144	1366	2193	1452	2151	2240	1789	2081	1623	1694	1910	1533
b1393	b1393_paaF_1457497_1	37	80	+	44	113	103	87	73	99	64	86	58	69	43	67	86	88	98	114	115	109	99	367	95	100
b1394	b1394_paaG_1458264_1	37	80	+	44	251	477	394	554	407	482	426	220	430	215	292	375	369	437	615	388	511	378	1641	391	295
b1395	b1395_paaH_1459054_1	37	80	+	44	334	481	377	390	381	434	351	210	367	246	272	354	527	450	493	427	506	420	1942	285	288
b1396	b1396_paaI_1460471_1	37	80	+	44	486	596	620	476	625	495	390	368	530	341	348	529	569	526	524	614	522	597	9528	396	373
b1397	b1397_paaJ_1460893_1	37	80	+	44	38	50	45	45	37	35	41	27	38	24	26	36	35	36	57	56	47	32	1242	33	27
b1398	b1398_paaK_1462125_1	37	80	+	44	69	103	90	112	95	112	102	54	119	69	77	98	60	76	88	67	67	53	2660	108	95
b1399	b1399_paaX_1463539_1	37	80	+	44	11958	16268	13365	12935	14375	12897	11951	7006	12559	8987	9186	12862	9238	11126	11053	10293	11891	9631	5793	8839	8747
b1400	b1400_paaY_1464471_1	37	80	+	44	1065	1726	1180	1696	1201	1509	1699	893	1462	762	1024	1240	1023	1527	1984	1455	1729	1278	974	1202	1134
b4674	b4674_ynbG_1465230_-1	37	80	-	44	144	308	100	250	162	218	363	70	269	88	135	155	113	229	366	191	308	137	10640	253	151
b4492	b4492_ydbA_1465392_1;b4492_ydbA_1469241_1;b4492_ydbA_1470517_1	37;37;37	80;80;80	+;+;+	132	1248	1859	1393	1732	1476	1796	1752	1021	1869	1308	1216	1570	1295	1392	1697	1393	1512	1219	1366	1267	1121
b1402	b1402_insD1_1468826_-1	37	80	-	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1403	b1403_insC1_1469149_-1	37	80	-	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1404	b1404_insI1_1469358_1	37	80	+	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1406	b1406_ydbC_1474221_1	37	80	+	44	588	875	724	878	715	845	786	429	841	400	482	894	816	692	1115	868	957	797	251	913	924
b1407	b1407_ydbD_1475144_1	37	80	+	44	309	483	552	411	526	383	323	280	385	296	271	475	461	433	385	504	386	402	83	288	299
b1408	b1408_ynbA_1477621_1	37	80	+	44	12	37	16	16	23	24	30	7	22	6	16	14	16	22	22	17	26	17	1338	18	11
b1409	b1409_ynbB_1478226_1	37	80	+	44	77	110	101	101	90	83	111	54	103	101	103	111	86	90	110	72	107	76	9614	81	56
b1410	b1410_ynbC_1479138_1	37	80	+	44	2030	3059	2199	2922	2412	2756	2768	1330	3013	1649	1819	2092	2394	2355	3372	2188	2815	2565	879	1731	1455
b1411	b1411_ynbD_1480909_1	37	80	+	44	65	55	69	70	64	43	35	19	17	36	27	47	41	30	55	46	44	36	2390	34	44
b1412	b1412_azoR_1482860_-1	37	80	-	44	292	590	331	595	350	419	442	165	380	149	230	356	285	420	523	302	541	341	160	326	372
b1413	b1413_hrpA_1483061_1	37	80	+	44	711	873	621	750	698	647	875	315	816	558	481	485	414	478	682	468	618	432	8344	443	432
b1414	b1414_ydcF_1487235_1	37	80	+	44	1163	1879	1206	1834	1281	1599	1548	675	1351	765	995	1609	1492	1867	2392	1521	2136	1504	681	1264	1000
b1415	b1415_aldA_1488232_1	37	80	+	44	974	1275	1159	1143	1148	1259	1165	798	992	688	761	1234	1225	1400	1384	1412	1445	1145	2623	1012	990
b4493	b4493_gapC_1490713_-1;b4493_gapC_1489964_-1	37;37	80;80	-;-	88	882	1207	976	1016	1199	1058	961	644	969	513	657	1006	1214	1177	1262	1303	1222	1171	6030	773	658
b1418	b1418_cybB_1490902_1	37	80	+	44	3641	6536	4669	6094	4898	5107	6815	3420	5488	2853	4214	5466	4887	8214	8912	7114	7502	6125	27103	4727	3809
b1419	b1419_ydcA_1491677_1	37	80	+	44	6386	12188	6501	13105	8294	11984	9909	3939	9085	5158	5605	7663	6998	7878	12546	7533	10548	6807	14984	7880	6773
b4428	b4428_hokB_1492071_-1	37	80	-	44	1	2	4	1	5	4	4	1	0	0	0	2	2	1	1	2	1	0	1025	0	0
b1420	b1420_mokB_1492129_-1	37	80	-	44	1812	2609	1788	2421	2259	2634	2114	1164	2279	1422	1443	2395	1701	2045	2485	1885	2008	1797	9881	1868	1713
b1421	b1421_trg_1492470_1	37	80	+	44	1028	1142	1219	933	1101	966	1018	640	896	554	684	861	874	1051	1062	1147	1031	1031	10938	703	691
b1422	b1422_ydcI_1495071_-1	37	80	-	44	950	2031	1099	1713	1404	1430	1459	634	1402	898	1020	1393	1136	1249	1597	1015	1539	1171	13455	1019	1012
b1423	b1423_ydcJ_1495288_1	37	80	+	44	730	976	978	824	848	744	871	668	745	528	524	753	994	1132	1069	1170	1012	972	3528	705	588
b1424	b1424_opgD_1496856_1	37	80	+	44	2008	3156	3166	2773	3086	2846	2760	2457	2864	2610	2184	3460	3195	3260	3213	3276	2992	3611	2286	2151	1737
b1426	b1426_ydcH_1498651_1	37	80	+	44	2268	3208	2800	3047	3097	2748	3162	1892	2538	1495	2044	3054	3453	3878	4167	4088	3911	3576	4139	2489	2124
b1427	b1427_rimL_1498938_1	37	80	+	44	6769	7688	8196	6554	8877	7478	5965	4453	5325	2729	4574	7167	6334	6763	6241	7668	6107	6581	6877	4845	4938
b1428	b1428_ydcK_1500449_-1	37	80	-	44	266	413	308	343	352	340	317	180	380	263	216	312	246	304	306	257	303	279	1906	248	199
b1429	b1429_tehA_1500573_1	37	80	+	44	5482	9610	5898	8498	7254	8645	7497	3403	7715	3862	4947	7809	5306	7825	9403	6901	8984	6801	2994	5754	5502
b1430	b1430_tehB_1501562_1	37	80	+	44	7244	7775	10044	6833	8516	7346	6163	5167	6983	4991	5193	7681	7807	6659	6523	8224	6663	6608	756	4668	4567
b1431	b1431_ydcL_1502457_1	37	80	+	44	1970	3174	2202	3261	2740	3268	3001	1477	3449	2146	2041	3037	2279	2706	3140	2395	2940	2278	13572	2214	1738
b4578	b4578_insP_1503649_-1	37	80	-	44	5	4	5	2	7	1	2	1	6	1	2	4	2	1	5	0	7	5	6226	1	1
b1432	b1432_insQ_1503717_1	37	80	+	44	3201	4649	5075	4432	4638	4471	4045	3194	4567	3836	3299	5236	4804	4832	4838	5025	4461	4849	1519	3429	2937
b1433	b1433_ydcO_1506080_-1	37	80	-	44	78	157	107	162	121	124	137	59	117	80	82	143	114	156	186	101	154	130	128	124	130
b1434	b1434_ydcN_1506172_1	37	80	+	44	698	766	833	628	736	569	655	475	608	450	463	749	870	903	925	958	799	830	2415	571	550
b1435	b1435_ydcP_1506781_1	37	80	+	44	38	57	38	56	32	41	76	43	62	39	41	74	30	46	49	56	40	48	104	53	35
b1436	b1436_yncJ_1509064_-1	37	80	-	44	514	569	602	534	654	559	576	449	546	419	433	698	591	643	572	724	645	680	285	552	485
b4532	b4532_hicA_1509286_1	37	80	+	44	34	26	31	23	30	17	34	19	27	28	24	26	31	22	34	37	23	33	6	15	28
b1438	b1438_hicB_1509508_1	37	80	+	44	72	110	91	87	74	75	95	63	76	52	63	74	80	85	95	113	98	84	1045	83	54
b1439	b1439_ydcR_1510003_1	37	80	+	44	292	426	262	391	357	323	378	145	328	183	233	251	199	270	342	237	337	229	1048	214	192
b1440	b1440_ydcS_1511654_1	37	80	+	44	11328	14389	12932	11563	13226	12856	11210	8123	12065	7935	7792	10161	11801	11959	12635	12690	11917	12293	3867	8035	6786
b1441	b1441_ydcT_1512817_1	37	80	+	44	2	2	4	3	2	3	2	1	2	1	4	5	1	1	5	2	1	4	27	1	1
b1442	b1442_ydcU_1513831_1	37	80	+	44	1823	1560	1709	1357	1429	1308	1599	957	1284	687	1057	1551	2040	2384	2373	2276	2061	2134	5323	1785	1457
b1443	b1443_ydcV_1514762_1	37	80	+	44	3	3	1	7	3	6	6	1	2	3	5	4	2	1	3	8	4	3	733	3	3
b1444	b1444_patD_1515578_1	37	80	+	44	582	996	643	998	753	870	896	446	1049	544	592	833	644	847	991	627	862	644	141	642	550
b4598	b4598_yncL_1517194_-1	37	80	-	44	149	354	203	387	230	301	354	122	217	83	164	204	208	267	439	221	365	227	724	273	276
b1445	b1445_ydcX_1517389_1	37	80	+	44	63	84	57	103	72	109	98	31	58	30	48	89	55	87	104	71	96	66	4885	100	83
b1446	b1446_ydcY_1517648_1	37	80	+	44	2414	2473	3010	2197	2713	2259	2062	1666	2243	1906	1774	2278	2611	2294	2293	2917	2246	2421	419	1509	1576
b1447	b1447_ydcZ_1518331_-1	37	80	-	44	25	19	22	15	13	23	25	15	17	14	13	20	16	29	19	19	23	23	2577	21	15
b1448	b1448_mnaT_1518846_-1	37	80	-	44	491	834	477	882	607	795	823	364	721	314	421	672	597	790	1073	662	924	677	2779	761	547
b1449	b1449_curA_1519027_1	37	80	+	44	2601	3300	3581	2954	3329	2785	2964	2003	2823	1812	2051	3101	3037	3227	3269	3568	3031	3241	404	2265	1900
b1450	b1450_mcbR_1520262_1	37	80	+	44	1463	2571	2010	2174	1937	2079	2159	1188	1869	1150	1290	2037	1969	2386	2620	1978	2512	1672	1904	1879	1447
b1451	b1451_yncD_1523065_-1	37	80	-	44	130	188	118	171	153	170	181	75	184	117	96	159	115	115	166	145	141	126	896	110	133
b1452	b1452_yncE_1523307_1	37	80	+	44	4244	6165	5449	5784	6030	5659	5378	3627	5593	4251	3851	6320	5595	6023	6236	5872	6147	5458	10010	5420	4904
b1453	b1453_ansP_1525980_-1	37	80	-	44	4734	6047	5425	5372	5736	5610	4771	2913	5204	3882	3571	5086	4616	5023	5488	5068	5540	5029	2390	4081	3596
b1454	b1454_yncG_1526247_1	37	80	+	44	4204	5007	4817	4642	4833	4411	4353	3039	4413	2543	3091	4530	4532	5230	5312	5382	4764	5367	6926	3506	3300
b1455	b1455_yncH_1526940_1	37	80	+	44	61	92	45	114	69	72	154	51	90	30	51	72	58	81	114	85	99	51	8913	76	60
b1456	b1456_rhsE_1527902_1	37	80	+	44	2	1	4	3	3	2	1	0	2	4	0	3	3	4	2	2	3	2	508	2	0
b1457	b1457_ydcD_1529922_1	37	80	+	44	7996	10922	11118	9591	12527	9828	8418	7352	9059	7473	7218	11177	10046	11219	10260	12469	10197	9908	11719	7684	7351
b1459	b1459_yncI_1530586_1;b1459_yncI_1531325_1	37;37	80;80	+;+	88	6094	7383	6374	5537	6360	5970	6136	3916	7152	4209	4001	4971	5436	5895	6726	5456	6732	5812	8169	3935	3735
b1460	b1460_ydcC_1531816_1	37	80	+	44	67	94	41	75	47	29	100	63	99	66	84	72	62	60	82	64	69	72	5506	44	39
b1461	b1461_pptA_1533052_1	37	80	+	44	1648	2337	1758	2181	2029	2223	1950	1023	2235	2105	1472	2188	1754	1864	2112	1603	1968	1453	5617	1417	1246
b1462	b1462_yddH_1533851_-1	37	80	-	44	218	310	277	271	263	316	301	224	305	191	204	293	311	407	355	314	347	306	2006	295	220
b1463	b1463_nhoA_1534024_1	37	80	+	44	920	1371	1328	1389	1166	1221	1395	835	1445	807	922	1254	1385	1439	1756	1512	1706	1352	11361	1020	851
b1464	b1464_yddE_1535858_-1	37	80	-	44	334	609	435	589	510	509	590	276	453	218	345	541	460	711	784	594	736	568	1105	537	458
b1465	b1465_narV_1536617_-1	37	80	-	44	312	256	361	213	239	216	283	204	218	136	163	314	368	441	376	461	315	307	1867	272	262
b1466	b1466_narW_1537309_-1	37	80	-	44	148	197	112	168	137	129	128	68	121	62	98	134	172	218	254	176	231	168	456	164	143
b1467	b1467_narY_1538853_-1	37	80	-	44	171	266	202	265	207	196	249	113	234	112	147	219	288	288	344	227	338	254	1102	210	192
b1468	b1468_narZ_1542590_-1	37	80	-	44	1229	1739	1456	1437	1528	1404	1361	837	1534	964	1062	1379	1278	1540	1525	1474	1565	1391	465	1112	1063
b1469	b1469_narU_1544060_-1	37	80	-	44	207	410	216	447	303	384	383	144	349	208	231	304	204	343	466	278	367	268	1399	311	255
